point,X,Y
1,-2053921.909,1325900.842
2,-1475176.635,1365233.567
3,-1760510.486,1536067.569
4,-2080867.044,2732064.353
5,-2121734.554,2755251.529
6,-1603432.013,2021649.549
7,-1476976.095,1352306.658
8,-1814057.245,1824066.877
9,-1766656.004,1889660.745
10,-1422624.106,1197696.293
11,-1539244.76,1483482.27
12,-2052306.103,1445443.308
13,-1853090.88,2611102.966
14,-2225811.881,2788249.9
15,-2142623.319,1998804.93
16,-1673181.235,1370842.464
17,-1898748.992,1468588.554
18,-1539784.643,1508322.982
19,-1743393.855,1709430.711
20,-1819052.528,1646078.549
21,-1735795.64,1806264.626
22,-2014310.386,1761334.16
23,-1778295.157,1738070.362
24,-1770337.016,1846545.587
25,-1588000.868,1903604.204
26,-1762515.262,1965414.126
27,-1572347.488,1955815.532
28,-1753154.763,2017523.591
29,-1652784.558,2050947.701
30,-975662.7182,77683.48065
31,-1013889.411,-2007.000054
32,-941463.3808,-7735.16294
33,-1122100.218,-148524.6678
34,-1035980.636,33009.57234
35,-2090266.087,3357937.023
36,-2224933.73,3235339.167
37,-2123985.315,3327218.541
38,-2441286.19,3525914.528
39,-2760389.366,3317736.175
40,-2865665.472,3288627.098
41,-2433211.403,3444678.647
42,-2385248.533,2842779.216
43,-2456762.562,3482510.093
44,-3082663.72,3125995.562
45,-2221870.941,3536396.946
46,-2485911.824,3532239.749
47,-3171412.233,3494079.653
48,-3133779.853,3380352.719
49,-2095486.407,3543038.791
50,-2223040.586,2607227.531
51,-2466214.701,3310399.921
52,-2698942.082,3289224.151
53,-2801417.213,3320009.764
54,-2217455.675,2346011.621
55,-3065655.39,3155956.205
56,-2803905.333,3310667.892
57,-2226749.219,3573988.98
58,-2646923.827,3382996.035
59,-2594610.024,3440531.329
60,-2758058.235,3303994.479
61,-2362300.766,2823935.703
62,-2114806.363,3854526.76
63,-2287299.554,3469381.599
64,-2657906.06,3351177.898
65,-2249836.485,3784697.643
66,-2188984.428,3819733.949
67,-2294291.323,3438521.593
68,-2295406.053,3521473.604
69,-2268829.367,2564574.244
70,-2375262.612,3670599.666
71,-2271518.785,3649173.957
72,-2200343.138,3303343.549
73,-2573640.738,3789599.207
74,-2183892.696,2728578.785
75,-2296960.69,3580492.082
76,-2244316.892,2345843.008
77,-2307439.082,3425211.508
78,-2664248.538,3340332.509
79,-2719862.273,3676074.603
80,-2257561.587,3648180.842
81,-2445684.431,3217628.387
82,-2514730.262,3306603.78
83,-2412578.434,3285409.346
84,-2460235.493,3218339.58
85,-2327616.1,3271365.109
86,-2262469.316,3352155.208
87,-2559606.866,3118910.223
88,-2382612.296,3278665.209
89,-1368068.478,1321202.31
90,-1467141.768,1622063.817
91,-1513579.79,1590784.501
92,-1420715.632,1782960.353
93,-1331732.084,1467799.065
94,-986727.0913,1886650.004
95,-1460945.272,1457282.71
96,-1410974.989,1355854.987
97,-1101491.629,1157928.162
98,-1485712.498,1640812.353
99,-1305949.991,1651398.08
100,-1356826.418,1693363.999
101,-1196252.792,1688948.02
102,-1447430.615,1546177.951
103,-1310503.521,1716030.895
104,-1513160.481,1619039.996
105,-1290025.486,1821828.963
106,-1278574.631,1608128.907
107,-1405769.633,1690320.06
108,-1496281.326,1689113.362
109,-1529990.039,1750041.811
110,-1360851.032,1250057.73
111,-1376810.362,1744403.798
112,-1090170.317,1766300.574
113,-1481119.253,1845177.67
114,-1253434.784,1870150.356
115,-1403103.147,2000312.131
116,-945123.6205,2310609.249
117,-999765.9465,2245727.868
118,-936216.9104,2294383.289
119,-1398099.027,1386536.223
120,-1701550.885,3460490.26
121,-1389668.403,2602124.978
122,-1033443.561,2621097.995
123,-1208321.291,2517565.566
124,-1545358.789,2522733.4
125,-1377446.244,2643732.742
126,-1657203.984,3454657.865
127,-1331548.978,2547175.957
128,-1131014.435,2577865.988
129,-1110937.676,2635806.128
130,-1437683.461,2605775.75
131,-1548024.955,3525854.621
132,-1609240.652,3441965.969
133,-1558499.307,3495174.799
134,-993943.6142,2609670.625
135,-1198745.816,2535625.268
136,-994732.2522,2328259.23
137,1881177.736,791897.7437
138,1976117.165,956237.7749
139,2076419.168,826693.613
140,2071379.968,859913.0975
141,2128454.791,898044.1084
142,1917662.964,840842.4864
143,1904263.025,1093831.862
144,1971854.691,1031561.624
145,1936417.019,1039458.634
146,1866971.681,808101.2052
147,70198.14577,2061868.214
148,-29671.5955,1048627.32
149,-33470.81994,1165923.244
150,-164050.8437,1194695.497
151,-48851.06761,1155761.897
152,-371204.1429,1225373.204
153,-114998.7768,1119344.236
154,-127149.265,1289973.621
155,-176281.9204,1232303.745
156,-293564.2822,1466011.53
157,-84531.31092,1126931.046
158,-415887.8109,1632677.015
159,-377625.7725,1631277.881
160,-30163.73368,1221631.951
161,-138519.623,1232897.693
162,-265107.8454,1397687.637
163,-271694.6253,1428595.665
164,-338790.9474,1453548.88
165,-205342.8714,1618050.939
166,-274413.5887,1580788.358
167,-184692.6906,1755576.765
168,-254116.4522,1766795.613
169,40009.55469,1818674.506
170,-316209.9869,1796835.338
171,-387917.5277,1895164.666
172,548629.4285,753203.4853
173,662547.1373,738876.7173
174,416804.1479,752921.6138
175,707921.6904,778823.244
176,742038.7499,723436.3585
177,505310.238,809908.0048
178,180826.6603,746828.8416
179,322920.0828,866384.0281
180,260213.3907,860645.3516
181,531.9912242,994492.1229
182,310013.1138,872101.5834
183,275810.1245,844416.5699
184,180820.0513,924314.2647
185,-1423224.365,1105664.422
186,1970483.621,1152823.92
187,2040776.743,1117279.918
188,2244742.462,1141591.618
189,2191204.491,1193077.939
190,2102660.471,1064457.242
191,2109734.993,1060773.866
192,2135553.652,1083698.452
193,2181432.379,1100695.17
194,2168944.5,1147841.721
195,2236174.102,1145208.737
196,2319103.524,1072082.888
197,2066451.875,1097804.021
198,2280553.251,1039598.911
199,2114386.282,933388.4942
200,2111115.286,961739.2326
201,2179733.356,926606.4527
202,2167381.784,934154.944
203,2269502.955,1040386.729
204,2006041.381,1185830.077
205,2058508.447,1122321.742
206,2100711.91,1176814.004
207,2578198.477,1429061.958
208,2923073.324,1715861.011
